date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,60661,20,0,0,10,6,0,0,0,0,0,8,12,0,6,0,9,0,0,0,0,0
2020-4-20,60706,91,0,0,14,10,22,13,14,10,7,46,45,0,40,0,24,0,0,16,0,0
2020-4-20,60707,179,0,0,18,27,25,46,36,16,9,86,91,0,58,29,57,12,0,21,0,0
2020-4-20,60712,76,0,6,7,10,13,8,7,6,19,38,37,0,29,0,10,17,14,0,0,0
2020-4-20,60714,154,0,0,26,12,21,20,26,21,28,68,83,0,48,0,37,16,28,21,0,0
2020-4-20,60803,65,0,0,7,16,15,12,13,0,0,24,41,0,7,13,30,0,0,8,0,0
2020-4-20,60804,398,0,13,74,74,91,78,48,14,6,208,184,6,91,19,87,52,0,148,0,0
2020-4-20,60805,76,0,0,7,13,10,7,16,8,14,31,45,0,10,17,42,0,0,0,0,0
2020-4-20,60827,133,0,0,16,21,38,22,23,6,0,55,78,0,0,94,33,0,0,0,0,0
2020-4-20,60901,169,0,0,22,22,26,33,16,14,33,83,82,0,61,31,64,0,0,13,0,0
2020-4-20,60914,48,0,0,0,6,6,9,7,6,11,14,34,0,23,0,20,0,0,0,0,0
2020-4-20,60915,13,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0
2020-4-20,60950,16,0,0,0,0,0,0,0,0,0,7,9,0,13,0,0,0,0,0,0,0
2020-4-20,60954,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-4-20,60964,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61008,25,0,0,7,0,0,0,0,0,0,12,13,0,0,0,23,0,0,0,0,0
2020-4-20,61016,11,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
2020-4-20,61021,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0
2020-4-20,61032,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61065,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61068,43,0,0,7,10,13,0,0,0,0,21,22,0,0,0,41,0,0,0,0,0
2020-4-20,61071,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-4-20,61073,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61081,19,0,0,0,0,0,0,0,0,0,9,10,0,0,0,7,0,0,0,0,0
2020-4-20,61101,13,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
2020-4-20,61102,23,0,0,0,0,6,0,0,0,0,15,8,0,0,11,0,0,0,0,0,0
2020-4-20,61103,19,0,0,0,0,0,8,0,0,0,0,14,0,7,0,0,0,0,0,0,0
2020-4-20,61104,19,0,0,0,0,0,0,0,0,0,9,10,0,0,0,7,0,0,0,0,0
2020-4-20,61107,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
2020-4-20,61108,30,0,0,0,0,0,0,0,0,0,10,20,0,13,0,0,0,0,10,0,0
2020-4-20,61109,26,0,0,0,6,0,0,0,0,0,16,10,0,9,0,0,0,0,8,0,0
2020-4-20,61111,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-4-20,61114,14,0,0,0,0,0,0,0,0,0,7,7,0,0,6,0,0,0,0,0,0
2020-4-20,61115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61201,45,0,0,6,9,9,0,8,0,0,19,26,0,14,8,18,0,0,0,0,0
2020-4-20,61235,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61241,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2020-4-20,61244,72,0,0,8,11,9,26,7,0,0,40,31,0,15,0,36,0,0,17,0,0
2020-4-20,61264,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61265,58,0,0,0,12,8,18,7,6,0,27,28,0,13,0,21,0,0,19,0,0
2020-4-20,61282,17,0,0,0,0,0,0,0,0,0,10,7,0,0,0,11,0,0,0,0,0
2020-4-20,61401,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2020-4-20,61462,14,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,7,0,0
2020-4-20,61604,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,61611,9,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0
2020-4-20,61614,11,0,0,0,0,0,0,0,0,6,0,6,0,8,0,0,0,0,0,0,0
